品名,價格
【SPUTNIK 斯普尼克】EXPLORE 寵物胸背帶Harness(S+),$990
【SPUTNIK 斯普尼克】EXPLORE 寵物頸圈Collar(L),$600
【SPUTNIK 斯普尼克】EXPLORE 寵物胸背帶Harness(S),$890
【SPUTNIK 斯普尼克】寵物胸背帶S號+寵物牽繩S號,"$1,440"
【SPUTNIK 斯普尼克】EXPLORE 寵物胸背帶Harness(L),"$1,190"
【SPUTNIK 斯普尼克】EXPLORE 寵物頸圈Collar(M),$550
【TW COLLECT】一鍵退毛寵物按摩梳(寵物除毛梳 貓咪梳子 順毛 寵物梳 寵物用品 寵物美容),$183(售價已折)
【MODODO 摸肚肚】GOGOBOX小立方寵物推車(寵物商品 寵物 推車 寵物包 寵物用品 寵物推車 摸肚肚 寵物外出),"$3,618"
【神經貓】可折疊帳篷寵物用品貓咪產房(寵物帳篷/寵物產房/寵物籠/寵物窩/寵物圍籠),$887(售價已折)
USB充電紅外線逗貓筆(射程3000米 寵物用品 逗貓棒 貓咪玩具 筆型強光手電筒 驅趕鳥),$253(售價已折)
【MODODO 摸肚肚】GOGOBOX小立方寵物推車(寵物商品 寵物 推車 寵物包 寵物用品 寵物推車 摸肚肚 寵物外出),"$3,618"
【貓毛神器】萬用靜電除塵除毛刷(黏毛 去毛球 重複使用 衣物除塵 寵物用品 黏毛器 靜電刷),$206(售價已折)
骨頭造型寵物編織磨牙棒-2件組(耐啃咬 磨牙 牙齒清潔 潔牙骨 寵物球 狗玩具 寵物用品),$163(售價已折)
【彬彬小舖】三層貓籠 78*55*140-加粗加固 電鍍烤漆經久耐用(貓籠 貓窩 貓跳台 籠子 寵物用品),"$2,246(售價已折)"
【典贊創意】寵尚天小寵無塵真紙棉(倉鼠紙棉 倉鼠廚紙 倉鼠墊材 寵物用品),$180(售價已折)
【毛毛家】寵物用品狗狗棉繩玩具│磨牙潔齒汪星人咬繩│防無聊玩具│寵物互動玩具│13款可選(001122SVZZ),$137(售價已折)
【珍寵】日韓熱銷 百變多功能寵物圍欄 -帶門款(/柵欄/門欄/圍籬/寵物窩/寵物籠/寵物用品),$737(售價已折)
【DREAMCATCHER】雙層貓咪吊床(貓窩/貓床/寵物用品/寵物吊床/窗邊貓掛床),$367(售價已折)
【新翊】汽車後座防水寵物墊(狗狗坐墊、防水後座車墊、汽車保潔墊、寵物用品、車用墊),$319(售價已折)
寵物外出飲水瓶-600ml(狗狗 貓咪 餵食器 隨行杯 飲水杯 飲水器 飼料杯 寵物水壺 寵物用品),$245(售價已折)
【KCS 嚴選】折疊式寵物烘乾箱-M號(寵物美容/寵物/吹風機/寵物吹水機/寵物用品),"$1,948(售價已折)"
【賀拉HORLA生活家居】小款貓窩四季可疊加貓咪床房子家具屋寵物用品(寵物床 貓窩 狗窩 睡床睡墊),$422(售價已折)
【京太陽】高品質仿真人造草皮地板(草皮 人造草皮 裝飾 裝潢 仿真人造草皮 地板 地墊 寵物用品),$656(售價已折)
【Jo Go Wu】寵物外出包(外出籠/寵物背包/貓咪外出包/寵物外出袋/狗背包/貓咪外出包/寵物用品/寵物提袋),$399
【PAWS FAMILIA 爪子本舖】寵物英倫風加厚雨衣(寵物雨衣/寵物用品/寵物服飾/雨衣/機能雨衣),$919(售價已折)
【寵物用品】LED寵物指甲剪(照血線 防飛濺 指甲刀 寵物剪 安全剪 修甲器 寵物美容 貓狗通用 寵物剪指甲),$299
【ENJOY LIFE 樂享生活】寵物潔牙指套濕紙巾(50片*3入 共150片 寵物用品 牙齒清潔 刷牙濕巾 貓狗清潔手套),$699
【寵愛寵物】USB寵物專業電動剃毛刀(修毛 理毛 電推剪 剃毛器 推毛器 寵物美容 寵物電剪 寵物用品),$364(售價已折)
【彬彬小舖】二層貓籠 78*55*100-加粗加固 電鍍烤漆經久耐用(貓籠 貓窩 貓跳台 籠子 寵物用品),"$1,944(售價已折)"
【ENJOY LIFE 樂享生活】時尚寵物自動牽引繩-8M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$352(售價已折)
【SPUTNIK 斯普尼克】EXPLORE 寵物胸背帶Harness(L),"$1,190"
【SPUTNIK 斯普尼克】EXPLORE 寵物頸圈Collar(S),$450
【SPUTNIK 斯普尼克】軍風寵物床 M號(寵物床),"$1,580"
【SPUTNIK 斯普尼克】EXPLORE 寵物胸背帶Harness(M),"$1,090"
【SPUTNIK 斯普尼克】寵物防蟻碗(寵物防蟻碗),$850
【SPUTNIK 斯普尼克】EXPLORE 寵物牽繩Leash(M),$650
寵物奶瓶50ML(餵奶器 餵食器 餵藥器 幼貓奶瓶 幼犬奶瓶 寵物哺乳 寵物用品),$163(售價已折)
戶外寵物可變化飛盤球(磨牙 飛碟球 訓練球 玩具球 狗狗玩具 寵物用品 寵物互動),$327(售價已折)
寵物專用奶瓶100ml-2入(餵奶器 餵食器 餵藥器 幼貓奶瓶 幼犬奶瓶 寵物哺乳 寵物用品),$195(售價已折)
【典贊創意】寵物雙排不鏽鋼梳(雙面梳子 雙排美容梳 貓狗兔針梳 寵物梳 雙排梳 寵物用品),$186(售價已折)
【STAR CANDY】寵物防蚤項圈 (防蚊項圈 狗狗防跳蚤項圈 除蚤寵物項圈 寵物用品 貓咪),$169
電動元氣沖沖鴨(USB充電 逗貓 貓玩具 貓咪解悶 多種模式 寵物玩具 寵物用品),$286(售價已折)
【ENJOY LIFE 樂享生活】寵物潔牙指套濕紙巾(50入 寵物用品 牙齒清潔 刷牙 指套濕巾 貓狗清潔手套),$349
【TW COLLECT】一鍵退毛寵物按摩梳(寵物除毛梳 貓咪梳子 順毛 寵物梳 寵物用品 寵物美容),$223(售價已折)
【寵物用品】小型寵物外出包26x15x19cm(鸚鵡/倉鼠/兔子/龍貓/刺蝟/蜜袋鼯/寵物包),$499
【輕鬆清潔】多功能滾筒除毛刷(靜電刷 貓毛 毛髮 清理器 地毯清潔 寵物用品 除塵刷 衣物 黏毛器),$296
寵物指甲剪/小號18*9cm(寵物用品/多種顏色可選),$119
【ENJOY LIFE 樂享生活】時尚寵物自動牽引繩-5M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$206(售價已折)
【ENJOY LIFE 樂享生活】貓薄荷麻布魚-三件組(貓草 逗貓抱枕 貓玩具 寵物用品),$193(售價已折)
【ALucky 愛樂奇】寵物外出透氣雙肩豪華太空包(寵物太空包 外出包 寵物包 寵物用品 透明寵物包),$755(售價已折)
【寵毛連線】360度寵物洗腳杯-大款(洗腳機 狗洗腳器 寵物用品),$298(售價已折)
自動升降逗貓球(升降球 逗貓棒 貓玩具 寵物用品 寵物玩具 逗貓神器 智能逗貓),$327(售價已折)
【寵物用品】爬蟲孵化蛋托16x11x5cm(守宮蛋 烏龜蛋 鴿子蛋 球蟒 蜥蜴 12孔),$215
【寵物擼毛】寵物按摩梳毛手套(理毛 除廢毛 除毛手套 按摩手套 安撫手套 寵物脫毛 洗澡手套 寵物用品),$239
貓狗加厚絨兔衣服(寵物衣服  寵物服飾 貓咪變裝 可愛兔子抖音同款衣服 寵物用品),$245(售價已折)
【PETA】寵物用品狗狗貓咪枕頭(保護頸椎深度睡眠U型枕 小狗幼貓抱枕),$153(售價已折)
【MODODO 摸肚肚】舒適漂浮睡枕(睡枕 狗睡枕 寵物用品 狗狗睡枕 飛行床配件 狗用品),$590
【bigboi】寵物乾燥吹風機 MINI PLUS+(吹水機 寵物吹風機 寵物美容 寵物用品 寵物吹水機),"$7,235(售價已折)"
木架陶瓷寵物碗(貓碗 狗碗 寵物碗 餵食容器 寵物用品 造型碗 高顏質),$318(售價已折)
【寵毛連線】自動飲水器/餵食器-38L(貓碗 狗碗 寵物用品),$318(售價已折)
【SPUTNIK 斯普尼克】寵物胸背帶M號+寵物牽繩M號,"$1,740"
【SPUTNIK 斯普尼克】寵物梳,$480
【SPUTNIK 斯普尼克】COZY FOOD BOX 機能飼料箱,"$1,380"
【SPUTNIK 斯普尼克】增高防蟻碗2入(寵物防蟻碗),"$2,700"
【SPUTNIK 斯普尼克】寵物增高防蟻碗(寵物防蟻碗),"$1,350"
